t y
0.000000000000000000e+00 4.379151336408314776e+00
1.041666666666666713e-01 6.088744055106470654e+00
2.083333333333333426e-01 7.382847987677701340e+00
3.125000000000000000e-01 7.985622641583334236e+00
4.166666666666666852e-01 9.179909856873914364e+00
5.208333333333333703e-01 9.994240718891857611e+00
6.250000000000000000e-01 1.073618564779698126e+01
7.291666666666667407e-01 1.103765056659202415e+01
8.333333333333333703e-01 1.156113413570854043e+01
9.375000000000000000e-01 1.220317460646482743e+01
1.041666666666666741e+00 1.237049503374282011e+01
1.145833333333333481e+00 1.247104990031234628e+01
1.250000000000000000e+00 1.252000996185524251e+01
1.354166666666666741e+00 1.213797441617413853e+01
1.458333333333333481e+00 1.205128009709835268e+01
1.562500000000000000e+00 1.176869511091065412e+01
1.666666666666666741e+00 1.123456634423754252e+01
1.770833333333333481e+00 1.069612242460142681e+01
1.875000000000000000e+00 1.026279259174155278e+01
1.979166666666666741e+00 9.402118255832704108e+00
2.083333333333333481e+00 8.540547543119952678e+00
2.187500000000000000e+00 8.040326696101052661e+00
2.291666666666666963e+00 6.743674922490203727e+00
2.395833333333333481e+00 5.973108533789058150e+00
2.500000000000000000e+00 4.199149912143467667e+00
